title|subtitle|description|parent|issued|weight|file
The Thistle 1906 page 1|||the_thistle_1906|1906-01-01T00:00:00|1|/var/www/html/thistle/the_thistle_1906/page_1.jpg
The Thistle 1906 page 2|||the_thistle_1906|1906-01-01T00:00:00|2|/var/www/html/thistle/the_thistle_1906/page_2.jpg
The Thistle 1906 page 3|||the_thistle_1906|1906-01-01T00:00:00|3|/var/www/html/thistle/the_thistle_1906/page_3.jpg
title|subtitle|description|parent|issued|weight|file
The Thistle 1982 page 1|||the_thistle_1982|1982-01-01T00:00:00|1|/var/www/html/thistle/the_thistle_1982/page_1.jpg
