title|subtitle|description|issued|file
The Thistle 1906 page 1|||1906-01-01T00:00:00|the_thistle_1906/img/page_1.jpg
The Thistle 1906 page 2|||1906-01-01T00:00:00|the_thistle_1906/img/page_2.jpg
The Thistle 1906 page 3|||1906-01-01T00:00:00|the_thistle_1906/img/page_3.jpg
The Thistle 1982 page 1|||1982-01-01T00:00:00|the_thistle_1982/img/page_1.jpg
