title|subtitle|description|collection|copyright|extent|issued|subjects|author|geo_location|file
title|subtitle|description|collection|copyright|extent|issued|subjects|author|geo_location|file
title|subtitle|description|collection|copyright|extent|issued|subjects|author|geo_location|file
The Thistle 1906|Thistle year book for 1906||thistle|No Copyright - United States|206 pages; book|1906-01-01T00:00:00|College Yearbooks|Carnegie Institute of Technology|Carnegie-Mellon University|the_thistle_1906
title|subtitle|description|collection|copyright|extent|issued|subjects|author|geo_location|file
The Thistle 1907|Thistle year book for 1907||thistle|No Copyright - United States|267 pages; book|1907-01-01T00:00:00|College Yearbooks|Carnegie Institute of Technology|Carnegie-Mellon University|the_thistle_1907
title|subtitle|description|collection|copyright|extent|issued|subjects|author|geo_location|file
