title|parent|weight|file
The Thistle 1906 page 1|the_thistle_1906|1|the_thistle_1906/txt/page_1.txt
The Thistle 1906 page 2|the_thistle_1906|2|the_thistle_1906/txt/page_2.txt
The Thistle 1906 page 3|the_thistle_1906|3|the_thistle_1906/txt/page_3.txt
The Thistle 1982 page 1|the_thistle_1982|1|the_thistle_1982/txt/page_1.txt
