term_id|title|authority_source|authority_link|authority_alt_title|corp_type|founding_date|dissolution_date|url_alias|alt_name|description|rel_type|typed_rel
1000|Carnegie-Mellon University|loc|http://id.loc.gov/authorities/names/n79054102.html|Carnegie-Mellon University authority file|schema:EducationalOrganization|1900-01-01T00:14:00-04:00|||Carnegie Institute of Technology|Carnegie Mellon University (CMU) is a private research university based in Pittsburgh, Pennsylvania. Founded in 1900 by Andrew Carnegie as the Carnegie Technical Schools, the university became the Carnegie Institute of Technology in 1912 and began granting four-year degrees.||
1001|Carnegie Institute of Technology|loc|http://id.loc.gov/authorities/names/n79054103.html|Carnegie Institute of Technology authority file|schema:EducationalOrganization|1900-01-01T00:14:00-04:00|||Carnegie-Mellon University|Carnegie-Mellon University (CMU) is a private research university based in Pittsburgh, Pennsylvania. Founded in 1900 by Andrew Carnegie as the Carnegie Technical Schools, the university became the Carnegie Institute of Technology in 1912 and began granting four-year degrees.||
