<mods:title>,<mods:subject>,<mods:publisher>,<mods:dateCreated>,<mods:dateModified>,<mods:extent>,<mods:identifier type= "local">,<mods:physicalLocation>,<mods:language>,<mods:accessCondition type="">,<mods:identifier type="doi">,filename,type
The Thistle 1988,College Yearbooks,Carnegie-Mellon University,1988-01-01T00:00:00,2018-02-23T00:00:00,304 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1988_0001/pdf/TYB_1988_0001.pdf,Carnegie-Mellon University,English,no copyright - other known legal restrictions,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1988_0001/TYB_1988_0001,TYB_1988_0001.pdf,paged_content
The Thistle 1989,College Yearbooks,Carnegie-Mellon University,1989-01-01T00:00:00,2018-02-23T00:00:00,328 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1989_0001/pdf/TYB_1989_0001.pdf,Carnegie-Mellon University,English,no copyright - other known legal restrictions,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1989_0001/TYB_1989_0001,TYB_1989_0001.pdf,paged_content
The Thistle 1990,College Yearbooks,Carnegie-Mellon University,1990-01-01T00:00:00,2018-02-23T00:00:00,296 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1990_0001/pdf/TYB_1990_0001.pdf,Carnegie-Mellon University,English,no copyright - other known legal restrictions,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1990_0001/TYB_1990_0001,TYB_1990_0001.pdf,paged_content
The Thistle 1991,College Yearbooks,Carnegie-Mellon University,1991-01-01T00:00:00,2017-12-15T00:00:00,292 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1991_0001/pdf/TYB_1991_0001.pdf,Carnegie-Mellon University,English,no copyright - other known legal restrictions,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1991_0001/TYB_1991_0001,TYB_1991_0001.pdf,paged_content
The Thistle 1992,College Yearbooks,Carnegie-Mellon University,1992-01-01T00:00:00,2018-02-23T00:00:00,264 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1992_0001/pdf/TYB_1992_0001.pdf,Carnegie-Mellon University,English,no copyright - other known legal restrictions,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1992_0001/TYB_1992_0001,TYB_1992_0001.pdf,paged_content
The Thistle 1993,College Yearbooks,Carnegie-Mellon University,1993-01-01T00:00:00,2018-02-23T00:00:00,296 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1993_0001/pdf/TYB_1993_0001.pdf,Carnegie-Mellon University,English,no copyright - other known legal restrictions,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1993_0001/TYB_1993_0001,TYB_1993_0001.pdf,paged_content
The Thistle 1994,College Yearbooks,Carnegie-Mellon University,1994-01-01T00:00:00,2018-02-23T00:00:00,232 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1994_0001/pdf/TYB_1994_0001.pdf,Carnegie-Mellon University,English,no copyright - other known legal restrictions,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1994_0001/TYB_1994_0001,TYB_1994_0001.pdf,paged_content
The Thistle 1996,College Yearbooks,Carnegie-Mellon University,1996-01-01T00:00:00,2018-02-23T00:00:00,230 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1996_0001/pdf/TYB_1996_0001.pdf,Carnegie-Mellon University,English,no copyright - other known legal restrictions,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1996_0001/TYB_1996_0001,TYB_1996_0001.pdf,paged_content
The Thistle 1997,College Yearbooks,Carnegie-Mellon University,1997-01-01T00:00:00,2018-02-23T00:00:00,248 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1997_0001/pdf/TYB_1997_0001.pdf,Carnegie-Mellon University,English,no copyright - other known legal restrictions,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1997_0001/TYB_1997_0001,TYB_1997_0001.pdf,paged_content
The Thistle 1998,College Yearbooks,Carnegie-Mellon University,1998-01-01T00:00:00,2018-02-23T00:00:00,248 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1998_0001/pdf/TYB_1998_0001.pdf,Carnegie-Mellon University,English,no copyright - other known legal restrictions,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1998_0001/TYB_1998_0001,TYB_1998_0001.pdf,paged_content
The Thistle 2000,College Yearbooks,Carnegie-Mellon University,2000-01-01T00:00:00,2018-02-23T00:00:00,279 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_2000_0001/pdf/TYB_2000_0001.pdf,Carnegie-Mellon University,English,no copyright - other known legal restrictions,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_2000_0001/TYB_2000_0001,TYB_2000_0001.pdf,paged_content
